,x,y
1,54.625,761.25
2,83.875,777.5
3,57.875,756.375
4,88.75,754.75
5,101.75,740.125
6,106.625,756.375
7,106.625,766.125
8,92,758
9,70.875,751.5
10,62.75,758
11,70.875,779.125
12,82.25,761.25
13,106.625,749.875
14,147.25,745
15,161.875,749.875
16,139.125,771
17,126.125,771
18,108.25,762.875
19,87.125,761.25
20,69.25,762.875
21,56.25,769.375
22,67.625,779.125
23,77.375,771
24,87.125,764.5
25,75.75,764.5
26,70.875,759.625
27,85.5,749.875
28,105,746.625
29,134.25,745
30,142.375,745
31,160.25,740.125
32,170,732
33,178.125,730.375
34,187.875,725.5
35,204.125,720.625
36,217.125,719
37,231.75,746.625
38,220.375,749.875
39,209,753.125
40,265.875,701.125
41,254.5,697.875
42,264.25,681.625
43,278.875,671.875
44,291.875,662.125
45,300,647.5
46,313,641
47,329.25,628
48,345.5,611.75
49,352,603.625
50,365,582.5
51,371.5,567.875
52,376.375,540.25
53,384.5,515.875
54,387.75,502.875
55,386.125,486.625
56,400.75,476.875
57,407.25,509.375
58,394.25,522.375
59,376.375,532.125
60,365,541.875
61,360.125,554.875
62,355.25,572.75
63,355.25,587.375
64,352,603.625
65,345.5,618.25
66,340.625,631.25
67,334.125,642.625
68,329.25,658.875
69,324.375,665.375
70,309.75,671.875
71,290.25,676.75
72,317.875,668.625
73,322.75,652.375
74,322.75,639.375
75,343.875,626.375
76,358.5,618.25
77,379.625,595.5
78,392.625,576
79,391,567.875
80,366.625,566.25
81,358.5,579.25
82,347.125,593.875
83,337.375,608.5
84,330.875,624.75
85,326,639.375
86,334.125,658.875
87,334.125,684.875
88,330.875,699.5
89,342.25,654
90,395.875,618.25
91,402.375,593.875
92,420.25,556.5
93,418.625,550
94,408.875,548.375
95,369.875,566.25
96,347.125,576
97,330.875,598.75
98,316.25,621.5
99,347.125,629.625
100,361.75,616.625
101,381.25,580.875
102,395.875,546.75
103,413.75,522.375
104,425.125,512.625
105,413.75,524
106,389.375,538.625
107,374.75,553.25
108,369.875,587.375
109,356.875,602
110,340.625,615
111,324.375,631.25
112,317.875,645.875
113,317.875,658.875
114,308.125,667
115,321.125,694.625
116,327.625,678.375
117,355.25,636.125
118,374.75,602
119,381.25,582.5
120,387.75,548.375
121,395.875,532.125
122,405.625,527.25
123,378,541.875
124,368.25,554.875
125,350.375,587.375
126,339,611.75
127,324.375,641
128,314.625,655.625
129,339,665.375
130,343.875,662.125
131,366.625,585.75
132,371.5,541.875
133,373.125,524
134,378,491.5
135,392.625,480.125
136,417,472
137,431.625,480.125
138,413.75,494.75
139,389.375,530.5
140,378,564.625
141,389.375,465.5
142,355.25,618.25
143,287,670.25
144,378,663.75
145,395.875,681.625
146,400.75,468.75
147,382.875,436.25
148,391,428.125
149,408.875,415.125
150,400.75,387.5
151,391,377.75
152,391,371.25
153,405.625,359.875
154,399.125,342
155,407.25,333.875
156,431.625,330.625
157,421.875,329
158,407.25,327.375
159,394.25,320.875
160,389.375,342
161,397.5,384.25
162,399.125,394
163,397.5,413.5
164,397.5,424.875
165,397.5,426.5
166,404,446
167,417,460.625
168,425.125,450.875
169,430,431.375
170,431.625,400.5
171,433.25,381
172,421.875,385.875
173,418.625,403.75
174,410.5,428.125
175,410.5,449.25
176,410.5,463.875
177,413.75,489.875
178,426.75,489.875
179,438.125,446
180,439.75,418.375
181,433.25,403.75
182,421.875,385.875
183,418.625,374.5
184,412.125,355
185,408.875,327.375
186,441.375,312.75
187,444.625,309.5
188,423.5,307.875
189,410.5,303
190,395.875,306.25
191,382.875,322.5
192,392.625,358.25
193,397.5,369.625
194,399.125,389.125
195,400.75,403.75
196,400.75,418.375
197,395.875,434.625
198,392.625,449.25
199,392.625,468.75
200,397.5,475.25
201,408.875,473.625
202,417,462.25
203,431.625,452.5
204,426.75,437.875
205,423.5,411.875
206,433.25,395.625
207,439.75,374.5
208,439.75,353.375
209,417,348.5
210,400.75,345.25
211,405.625,327.375
212,431.625,309.5
213,410.5,307.875
214,389.375,301.375
215,399.125,353.375
216,400.75,374.5
217,402.375,389.125
218,402.375,415.125
219,374.75,260.75
220,369.875,249.375
221,360.125,238
222,353.625,231.5
223,342.25,213.625
224,335.75,208.75
225,335.75,202.25
226,335.75,195.75
227,335.75,182.75
228,332.5,158.375
229,316.25,137.25
230,285.375,130.75
231,282.125,129.125
232,270.75,106.375
233,261,96.625
234,246.375,83.625
235,220.375,77.125
236,202.5,75.5
237,184.625,69
238,181.375,54.375
239,200.875,49.5
240,215.5,54.375
241,230.125,67.375
242,241.5,78.75
243,252.875,90.125
244,261,96.625
245,270.75,101.5
246,291.875,112.875
247,309.75,125.875
248,329.25,137.25
249,332.5,140.5
250,339,150.25
251,342.25,148.625
252,348.75,179.5
253,363.375,192.5
254,373.125,213.625
255,381.25,231.5
256,384.5,244.5
257,374.75,207.125
258,365,186
259,350.375,168.125
260,340.625,145.375
261,322.75,137.25
262,316.25,135.625
263,316.25,135.625
264,313,130.75
265,309.75,127.5
266,308.125,121
267,329.25,65.75
268,353.625,127.5
269,368.25,195.75
270,392.625,241.25
271,404,286.75
272,404,316
273,379.625,303
274,365,262.375
275,361.75,238
276,339,203.875
277,324.375,190.875
278,313,171.375
279,295.125,137.25
280,275.625,119.375
281,249.625,109.625
282,238.25,101.5
283,223.625,86.875
284,209,82
285,184.625,75.5
286,184.625,73.875
287,187.875,70.625
288,230.125,43
289,431.625,216.875
290,417,73.875
291,350.375,80.375
292,278.875,70.625
293,275.625,103.125
294,309.75,117.75
295,330.875,127.5
296,356.875,148.625
297,379.625,179.5
298,391,195.75
299,399.125,238
300,410.5,252.625
301,417,268.875
302,415.375,280.25
303,407.25,283.5
304,386.125,229.875
305,387.75,205.5
306,397.5,173
307,384.5,150.25
308,330.875,137.25
309,316.25,130.75
310,306.5,108
311,259.375,80.375
312,256.125,80.375
313,291.875,116.125
314,326,148.625
315,374.75,197.375
316,384.5,236.375
317,319.5,135.625
318,283.75,108
319,226.875,82
320,215.5,67.375
321,205.75,57.625
322,179.75,56
323,157,56
324,150.5,54.375
325,170,54.375
326,202.5,69
327,239.875,82
328,282.125,104.75
329,330.875,150.25
330,334.125,160
331,352,189.25
332,366.625,213.625
333,384.5,239.625
334,404,257.5
335,412.125,264
336,408.875,249.375
337,395.875,203.875
338,394.25,203.875
339,386.125,220.125
340,399.125,254.25
341,400.75,273.75
342,405.625,291.625
343,421.875,277
344,434.875,244.5
345,410.5,213.625
346,399.125,208.75
347,384.5,199
348,371.5,186
349,348.75,153.5
350,327.625,150.25
351,353.625,199
352,373.125,239.625
353,111.5,46.25
354,85.5,41.375
355,57.875,41.375
356,46.5,41.375
357,62.75,46.25
358,72.5,46.25
359,74.125,43
360,74.125,41.375
361,74.125,39.75
362,72.5,36.5
363,131,10.5
364,98.5,28.375
365,70.875,33.25
366,49.75,33.25
367,54.625,33.25
368,70.875,43
369,69.25,30
370,82.25,25.125
371,70.875,36.5
372,77.375,39.75
373,82.25,49.5
374,64.375,39.75
375,87.125,34.875
376,118,31.625
377,127.75,30
378,144,30
379,114.75,39.75
380,116.375,41.375
381,96.875,41.375
382,77.375,36.5
